FCLTY_NM,CTPRVN_NM,SIGNGU_NM,ADSTRD_NM,DATA_CO,TOT_PROGRM_CO,VIEWNG_PRICE,ARTGR_EMP_CO,BULD_AR_VALUE,DSPY_AR_CN,FLAG_NM,VIEWNG_NMPR_CO
국립현대미술관(과천관),경기,과천시,문원동,67242,18.0,3000,2,37796.8,13788.2,국립,726065
국립현대미술관(서울관),서울,종로구,삼청동,41891,29.0,7000,2,52125.19,10070.0,국립,2021771
국립현대미술관(덕수궁관),서울,중구,소공동,2588,1.0,0,2,2247.0,1152.0,국립,212455
국립현대미술관 미술품수장센터(청주관),충북,청주시,내덕2동,4120,16.0,2000,2,19865.0,3669.0,국립,249556
DDP디자인뮤지엄,서울,중구,광희동,10613,1.0,2750,2,82464.0,1557.0,공립,30396
겸재정선미술관,서울,강서구,가양1동,3251,11.0,1000,2,3305.29,606.0,공립,42478
서울시립미술관,서울,중구,소공동,44734,158.0,2750,2,13433.0,3256.0,공립,2096952
성북구립미술관,서울,성북구,성북동,4535,5.0,2750,2,696.06,222.0,공립,12986
"성북구립 최만린미술관
(성북구립미술관 분관)",서울,성북구,정릉3동,45316,0.0,2750,2,255.36,150.43,공립,2237
"성북어린이미술관 꿈자람
(성북구립미술관 분관)",서울,성북구,월곡2동,3011,0.0,2750,2,337.94,119.0,공립,4697
"성북예술창작터
(성북구립미술관 분관)",서울,성북구,성북동,3011,0.0,2750,2,204.76,135.0,공립,4031
종로구립 박노수미술관,서울,종로구,청운효자동,3011,5.0,2750,2,351.0,191.0,공립,25855
63아트,서울,영등포구,여의동,2588,0.0,15000,1,2112.0,2122.0,사립,25855
JCC아트센터,서울,종로구,혜화동,3011,0.0,7465,2,121.0,121.0,사립,122927
K현대미술관,서울,강남구,압구정동,10613,0.0,7465,2,4968.0,3734.0,사립,220000
OCI미술관,서울,종로구,종로1.2.3.4가동,2750,5.0,7465,6,1925.9,785.6,사립,6081
금호미술관,서울,종로구,삼청동,2588,1.0,7465,3,2311.0,727.0,사립,25000
김세중미술관,서울,용산구,효창동,900,20.0,7465,1,584.0,362.0,사립,3593
대림미술관,서울,종로구,사직동,2588,4.0,7465,7,1210.93,828.94,사립,65317
디뮤지엄(대림미술관 분관),서울,성동구,성수1가1동,10613,8.0,7465,3,3465.0,2839.376,사립,40923
롯데뮤지엄,서울,송파구,잠실6동,10613,4.0,19000,6,805872.0,1129.6,사립,120000
리움미술관,서울,용산구,한남동,10613,12.0,7465,41,15016.0,3284.0,사립,523635
밀알미술관,서울,강남구,일원본동,300,0.0,7465,2,360.0,300.0,사립,16875
