CTPRVN_NM,SIGNGU_NM,ADSTRD_NM,2024_FCLTY_NM,2024_DATA_CO,2023_DATA_CO,2024_TOT_PROGRM_CO,2023_TOT_PROGRM_CO,2024_VIEWNG_PRICE,2023_VIEWNG_PRICE,2024_ARTGR_EMP_CO,2023_ARTGR_EMP_CO,2024_BULD_AR_VALUE,2023_BULD_AR_VALUE,2024_DSPY_AR_CN,2023_DSPY_AR_CN,FLAG_NM,2024_food_count_by_dong,2024_VIEWNG_NMPR_CO,2023_VIEWNG_NMPR_CO,viewer_decline,DATA_CO_GROWTH_RATE,VIEWNG_PRICE_GROWTH_RATE,TOT_PROGRM_CO_GROWTH_RATE,ARTGR_EMP_CO_GROWTH_RATE,DSPY_AR_CN_GROWTH_RATE
경기,과천시,문원동,국립현대미술관(과천관),67242,343.3636363636364,18.0,25.0,3000,3000.0,2,2.172661870503597,37796.8,37796.8,13788.2,13788.2,국립,51,726065,653842,0,194.8332009531374,0.0,-0.28,-0.07947019867549661,0.0
서울,종로구,삼청동,국립현대미술관(서울관),41891,343.3636363636364,29.0,19.0,7000,7000.0,2,2.172661870503597,52125.19,52125.19,10070.0,10070.0,국립,214,2021771,1806641,0,121.0018533227429,0.0,0.5263157894736842,-0.07947019867549661,0.0
서울,중구,소공동,국립현대미술관(덕수궁관),2588,408.73333333333335,1.0,1.0,0,0.0,2,2.172661870503597,2247.0,2247.0,1152.0,1152.0,국립,664,212455,174246,0,5.331756646550318,0.0,0.0,-0.07947019867549661,0.0
충북,청주시,내덕2동,국립현대미술관 미술품수장센터(청주관),4120,343.3636363636364,16.0,13.0,2000,2000.0,2,2.172661870503597,19865.0,19865.0,3669.0,3669.0,국립,422,249556,193023,0,10.998940958432618,0.0,0.23076923076923078,-0.07947019867549661,0.0
서울,중구,광희동,DDP디자인뮤지엄,10613,343.3636363636364,1.0,2.0,2750,6738.888888888889,2,2.172661870503597,82464.0,82464.0,1557.0,1557.0,공립,576,30396,54050,1,29.90892242520519,-0.5919208573784006,-0.5,-0.07947019867549661,0.0
서울,강서구,가양1동,겸재정선미술관,3251,343.3636363636364,11.0,7.0,1000,1000.0,2,2.172661870503597,3305.29,3305.29,606.0,606.0,공립,1285,42478,35085,0,8.46809637278263,0.0,0.5714285714285714,-0.07947019867549661,0.0
서울,중구,소공동,서울시립미술관,44734,343.3636363636364,158.0,111.0,2750,6738.888888888889,2,2.172661870503597,13433.0,13433.0,3256.0,3256.0,공립,664,2096952,2625138,1,129.28170505692347,-0.5919208573784006,0.42342342342342343,-0.07947019867549661,0.0
서울,성북구,성북동,성북구립미술관,4535,426.1218181818182,5.0,7.0,2750,6738.888888888889,2,2.172661870503597,696.06,696.06,222.0,221.6,공립,227,12986,27956,1,9.642496597217184,-0.5919208573784006,-0.2857142857142857,-0.07947019867549661,0.0018050541516245744
서울,종로구,청운효자동,종로구립 박노수미술관,3011,329.125,5.0,5.0,2750,6738.888888888889,2,2.172661870503597,351.0,351.0,191.0,191.0,공립,266,25855,30550,1,8.148499810102544,-0.5919208573784006,0.0,-0.07947019867549661,0.0
서울,영등포구,여의동,63아트,2588,408.73333333333335,0.0,0.0,15000,15000.0,1,1.0,2112.0,2112.0,2122.0,2122.0,사립,1818,25855,61700,1,5.331756646550318,0.0,0.0,0.0,0.0
