ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,FLAG_NM,REGIST_AT,TEL_NO,OPNNG_DE,REGIST_DC,REGIST_DE,REGIST_NO,HMPG_ADDR,SOUND_PROVD_AT,SOUND_UTILIIZA_PRICE,MOBILE_PROVD_AT,LND_AR_VALUE,BULD_AR_VALUE,DSPY_AR_CN,AR_CN,EDC_FCLTY_AR_VALUE,OFFM_AR_CN,DATA_SPCE_AR_VALUE,DATA_CO,PBLPRFR_CAS_CO,TOT_PROGRM_CO,OPNNG_DAY_CO,VIEWNG_NMPR_CO,DAY_AVRG_VIEWNG_NMPR_CO,VIEWNG_PRICE,INFN_VIEWNG_PRICE,SCHBOY_VIEWNG_PRICE,MSKLSD_VIEWNG_PRICE,ADULT_VIEWNG_PRICE,GRP_DSCNT_RT,ETC_DSCNT_RT,DSCNT_CN,FRE_TRGET_CN,SPECL_VIEWNG_PRICE,INFN_SPECL_VIEWNG_PRICE,SCHBOY_SPECL_VIEWNG_PRICE,MSKLSD_SPECL_VIEWNG_PRICE,ADULT_SPECL_VIEWNG_PRICE,GRP_SPECL_VIEWNG_RT,ETC_SPECL_VIEWNG_DSCNT_RT,ETC_SPECL_VIEWNG_DSCNT_CN,FRE_SPECL_VIEWNG_PRICE,NMPR_CO,GVRNM_EMP_SM_CO,QUALF_HOLD_CO,TOT_CNTRCT_EMP_CO,CNTRCT_EMP_CRTFCT_CO,GNRL_GVRNM_EMP_CO,CNTRCT_EMP_CO,PUBLIC_INTN_CO,PUBLIC_VLNTER_CO,ARTGR_EMP_CO,CURTR_QUALF_HOLD_CO,CURTR_NTHG_QUALF_HOLD_CO,PRFSN_CO,GNRL_EMP_CO,PRVATE_INTN_CO,PRVATE_VLNTER_CO,RM_CN,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KCDMART23N000000001,¹®È­½Ã¼³,¹Ì¼ú°ü,±¹¸³Çö´ë¹Ì¼ú°ü(°úÃµ°ü),°æ±â,°úÃµ½Ã,4129010400,¸·°èµ¿,4129056000,¹®¿øµ¿,4.12903E+11,°æ±âµµ °úÃµ½Ã ±¤¸í·Î 313,13829,´Ù»ç575369,127.0199299,37.43100343,±¹¸³,1Á¾,02-2188-6114,1986.08.25,Y,2023.01.02,±¹¸³13-2023-01È£,"www.mmca.go.kr, 
www.facebook.com/MMCAKorea, www.instagram.com/MMCAKorea, 
www.twitter.com/MMCAKOREA, www.youtube.com/MMCAKorea, tv.naver.com/mmca",Y,1000,Y,66916,37796.8,13788.2,,1162,4169,535,67242,¿¬6È¸,18,312,726065,2327,,,,,,,,,ÀüÃ¼,"±âÈ¹Àü½Ãº° º°µµ Ã¥Á¤
(2,000¿ø~3,000¿ø ¼öÁØ)",,,,,20,20~50,"¾Æ½Ã¾Æ³ªÅ¬·´ ÀÏ¹ÝÈ¸¿ø 20% (Ä«µåÁ¦½ÃÀÚ¿¡ ÇÑÇÔ)
´ÙµÕÀÌÄ«µå ¼ÒÁöÀÚ 20% ÇÒÀÎ
LGÀ¯ÇÃ·¯½º ¸â¹ö½º ¾Û È¸¿ø 50% ÇÒÀÎ(¾ÛÄíÆùÀÎÁõ)","1.ÀÏ¹Ý
¸¸24¼¼ ÀÌÇÏ ¶Ç´Â ¸¸65¼¼ ÀÌ»ó
´ëÇÐ»ý(ÇÐºÎ»ý)
±¹°¡À¯°øÀÚ¡¤µ¶¸³À¯°øÀÚ(À¯°øÀÚÁõ ¼ÒÁö½Ã º»ÀÎ ¹× µ¿¹Ý°¡Á·)
±¹°¡À¯°øÀÚ¡¤µ¶¸³À¯°øÀÚ À¯Á·Áõ ¼ÒÁöÀÚ
Àå¾ÖÀÎ ¹× µ¿Çàº¸È£ÀÚ
¹®È­´©¸®Ä«µå ¼ÒÁöÀÚ
¹Ì¼ú°ü¿¡ ¹Ì¼úÀÛÇ° µîÀÇ ÀÚ·á ±âÁõÀÚ(±âÁõÀÚ Ä«µå ¼ÒÁö½Ã º»ÀÎ ¹× µ¿¹Ý°¡Á·) 
±¹¸³Çö´ë¹Ì¼ú°ü À¯·áÈ¸¿ø
¹Ú¹°°ü¡¤¹Ì¼ú°ü ÇÐ¿¹»ç ÀÚ°Ý ÃëµæÀÚ
¿¹¼úÀÎÆÐ½º ¼ÒÁöÀÚ
ICOM(±¹Á¦¹Ú¹°°üÇùÀÇÈ¸) Ä«µå ¼ÒÁöÀÚ
CIMAN(±¹Á¦±ÙÇö´ë¹Ì¼ú°üÀ§¿øÈ¸) Ä«µå ¼ÒÁöÀÚ
ÆÐÆ®·Ð/ÆÄÆ®³Ê Ä«µå ¼ÒÁöÀÚ
ÇÐºÎ¸ð On´©¸® »çÀÌÆ® ³» ÇÐ±³Æø·Â´ëÀÀ °ü·Ã °úÁ¤ ÀÌ¼öÁõ ¼ÒÁöÀÚ

2.Á¦ÈÞ»ç
¾Æ½Ã¾Æ³ªÅ¬·´ ¿ì¼öÈ¸¿ø Ä«µå(Ä«µåÁ¦½ÃÀÚ¿¡ ÇÑÇÔ)

4.¸Å¿ù ¸¶Áö¸· ¼ö¿äÀÏ ¹®È­°¡ ÀÖ´Â ³¯",62,27,27,67,509,57,67,,24,,,,,,,,,20250321,¹®È­±â¹Ý½Ã¼³ÃÑ¶÷ 2024,KC_478_DMSTC_MCST_ARTGR_2024,20241231
KCDMART23N000000002,¹®È­½Ã¼³,¹Ì¼ú°ü,±¹¸³Çö´ë¹Ì¼ú°ü(¼­¿ï°ü),¼­¿ï,Á¾·Î±¸,1111014200,¼Ò°Ýµ¿,1111054000,»ïÃ»µ¿,1.11103E+11,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ »ïÃ»·Î 30,3062,´Ù»ç540533,126.9800327,37.57874362,±¹¸³,1Á¾,02-3701-9500,2013.11.12,Y,2023.01.02,±¹¸³13-2023-01È£,"www.mmca.go.kr, www.facebook.com/MMCAKorea, 
www.instagram.com/MMCAKorea, www.twitter.com/MMCAKOREA, 
www.youtube.com/MMCAKorea, tv.naver.com/mmca",Y,1000,Y,27264.37,52125.19,10070,,5641.432,2888.05,735,41891,¿¬12È¸,29,362,2021771,5585,,,,,,,,,ÀüÃ¼,4000(ÅëÇÕ±Ç),,,,,20,20~50,"¾Æ½Ã¾Æ³ªÅ¬·´ ÀÏ¹ÝÈ¸¿ø 20% (Ä«µåÁ¦½ÃÀÚ¿¡ ÇÑÇÔ)
´ÙµÕÀÌÄ«µå ¼ÒÁöÀÚ 20% ÇÒÀÎ
LGÀ¯ÇÃ·¯½º ¸â¹ö½º ¾Û È¸¿ø 50% ÇÒÀÎ(¾ÛÄíÆùÀÎÁõ)","1.ÀÏ¹Ý
¸¸24¼¼ ÀÌÇÏ ¶Ç´Â ¸¸65¼¼ ÀÌ»ó
´ëÇÐ»ý(ÇÐºÎ»ý)
±¹°¡À¯°øÀÚ¡¤µ¶¸³À¯°øÀÚ(À¯°øÀÚÁõ ¼ÒÁö½Ã º»ÀÎ ¹× µ¿¹Ý°¡Á·)
±¹°¡À¯°øÀÚ¡¤µ¶¸³À¯°øÀÚ À¯Á·Áõ ¼ÒÁöÀÚ
Àå¾ÖÀÎ ¹× µ¿Çàº¸È£ÀÚ
¹®È­´©¸®Ä«µå ¼ÒÁöÀÚ
¹Ì¼ú°ü¿¡ ¹Ì¼úÀÛÇ° µîÀÇ ÀÚ·á ±âÁõÀÚ(±âÁõÀÚ Ä«µå ¼ÒÁö½Ã º»ÀÎ ¹× µ¿¹Ý°¡Á·) 
±¹¸³Çö´ë¹Ì¼ú°ü À¯·áÈ¸¿ø
¹Ú¹°°ü¡¤¹Ì¼ú°ü ÇÐ¿¹»ç ÀÚ°Ý ÃëµæÀÚ
¿¹¼úÀÎÆÐ½º ¼ÒÁöÀÚ
ICOM(±¹Á¦¹Ú¹°°üÇùÀÇÈ¸) Ä«µå ¼ÒÁöÀÚ
CIMAN(±¹Á¦±ÙÇö´ë¹Ì¼ú°üÀ§¿øÈ¸) Ä«µå ¼ÒÁöÀÚ
ÆÐÆ®·Ð/ÆÄÆ®³Ê Ä«µå ¼ÒÁöÀÚ
ÇÐºÎ¸ð On´©¸® »çÀÌÆ® ³» ÇÐ±³Æø·Â´ëÀÀ °ü·Ã °úÁ¤ ÀÌ¼öÁõ ¼ÒÁöÀÚ

2.Á¦ÈÞ»ç
¾Æ½Ã¾Æ³ªÅ¬·´ ¿ì¼öÈ¸¿ø Ä«µå(Ä«µåÁ¦½ÃÀÚ¿¡ ÇÑÇÔ)

5.¸Å¿ù ¸¶Áö¸· ¼ö¿äÀÏ ¹®È­°¡ ÀÖ´Â ³¯",62,27,27,67,509,57,67,,0,,,,,,,,,20250321,¹®È­±â¹Ý½Ã¼³ÃÑ¶÷ 2024,KC_478_DMSTC_MCST_ARTGR_2024,20241231
KCDMART23N000000003,¹®È­½Ã¼³,¹Ì¼ú°ü,±¹¸³Çö´ë¹Ì¼ú°ü(´ö¼ö±Ã°ü),¼­¿ï,Áß±¸,1114016700,Á¤µ¿,1114052000,¼Ò°øµ¿,1.11402E+11,¼­¿ïÆ¯º°½Ã Áß±¸ ¼¼Á¾´ë·Î 99,4519,´Ù»ç535519,126.9737258,37.56608683,±¹¸³,1Á¾,02-2022-0600,1998.12.01,Y,2023.01.02,±¹¸³13-2023-01È£,"www.mmca.go.kr, www.facebook.com/MMCAKorea, 
www.instagram.com/MMCAKorea, www.twitter.com/MMCAKOREA,
 www.youtube.com/MMCAKorea, tv.naver.com/mmca",Y,1000,Y,1181,2247,1152,,78,64,,,¿¬1È¸,1,118,212455,1800,,,,,,,,,,"±âÈ¹Àü½Ãº° º°µµ Ã¥Á¤
(2,000¿ø~3,000¿ø ¼öÁØ)
* ´ö¼ö±Ã ÀÔÀå·á Á¦¿Ü",,,,,,,,ÀüÃ¼,62,27,27,67,509,57,67,,22,,,,,,,,,20250321,¹®È­±â¹Ý½Ã¼³ÃÑ¶÷ 2024,KC_478_DMSTC_MCST_ARTGR_2024,20241231
KCDMART23N000000004,¹®È­½Ã¼³,¹Ì¼ú°ü,±¹¸³Çö´ë¹Ì¼ú°ü ¹Ì¼úÇ°¼öÀå¼¾ÅÍ(Ã»ÁÖ°ü),ÃæºÏ,Ã»ÁÖ½Ã,4311410200,³»´öµ¿,4311453000,³»´ö2µ¿,,ÃæÃ»ºÏµµ Ã»ÁÖ½Ã Ã»¿ø±¸ »ó´ç·Î 314,28501,´Ù¹Ù993509,127.4923824,36.65619554,±¹¸³,1Á¾,043-261-1400,2018.12.27,Y,2023.01.02,±¹¸³13-2023-01È£,"www.mmca.go.kr, www.facebook.com/MMCAKorea, 
www.instagram.com/MMCAKorea, www.twitter.com/MMCAKOREA,
 www.youtube.com/MMCAKorea, tv.naver.com/mmca",Y,¹«·á,N,12077,19865,3669,,295,639,72,4120,¿¬2È¸,16,312,249556,800,,,,,,,,,ÀüÃ¼,,,,,,,,,ÀüÃ¼,62,27,27,67,509,57,67,,0,,,,,,,,,20250321,¹®È­±â¹Ý½Ã¼³ÃÑ¶÷ 2024,KC_478_DMSTC_MCST_ARTGR_2024,20241231
KCDMART23N000000005,¹®È­½Ã¼³,¹Ì¼ú°ü,DDPµðÀÚÀÎ¹ÂÁö¾ö,¼­¿ï,Áß±¸,1114014900,À»Áö·Î7°¡,1114059000,±¤Èñµ¿,1.11403E+11,¼­¿ïÆ¯º°½Ã Áß±¸ À»Áö·Î 281,4566,´Ù»ç568521,127.0108904,37.56804459,°ø¸³,1Á¾,02-2153-0001,2014.03.21,Y,2020.02.17,¼­¿ï-°ø¸³13-2020-01È£,www.ddp.or.kr,N,,N,62109,82464,1557,,1789,191.5,,,¿¬6È¸,1,267,30396,114,,,,,,,,,,,0,500,500,1000,30,35,"°âÀçÁ¤¼±¹Ì¼ú°ü-ÇãÁØ¹Ú¹°°ü ÅëÇÕ°ü¶÷±Ç(35%), 2,4ÁÖ Åä¿äÀÏ ¹«·áÀÔÀå, ¹®È­°¡ ÀÖ´Â ³¯ ¾ß°£ ¹«·áÀÔÀå µî","¸¸ 6¼¼ ÀÌÇÏ ¹× 65¼¼ ÀÌ»ó, ±¹°¡À¯°øÀÚ,µ¶¸³À¯°øÀÚ ¹× ±× À¯Á· ¶Ç´Â °¡Á·, Àå¾ÖÀÎ ¹× º¸È£ÀÚ 1ÀÎ, ´ÙµÕÀÌ Çàº¹Ä«µå ¼ÒÁöÀÚ(µîÀç °¡Á· Æ÷ÇÔ)",,,,,3,,,,,,,,,,,,,20250321,¹®È­±â¹Ý½Ã¼³ÃÑ¶÷ 2024,KC_478_DMSTC_MCST_ARTGR_2024,20241231
KCDMART23N000000006,¹®È­½Ã¼³,¹Ì¼ú°ü,°âÀçÁ¤¼±¹Ì¼ú°ü,¼­¿ï,°­¼­±¸,1150010500,¸¶°îµ¿,1150060300,°¡¾ç1µ¿,1.15004E+11,¼­¿ïÆ¯º°½Ã °­¼­±¸ ¾çÃµ·Î 47±æ 36,7522,´Ù»ç415527,126.8384127,37.57222802,°ø¸³,1Á¾,02-2659-2206,2009.04.23,Y,2014.02.14,¼­¿ï-°ø¸³13-2014-03È£,www.culture.gangseo.seoul.kr,N,,N,4065,3305.29,606,,343,74,13,3251,¿¬10È¸,11,296,42478,144,1000,0,500,500,1000,30,35,"°âÀçÁ¤¼±¹Ì¼ú°ü-ÇãÁØ¹Ú¹°°ü ÅëÇÕ°ü¶÷±Ç(35%), 2,4ÁÖ Åä¿äÀÏ ¹«·áÀÔÀå, ¹®È­°¡ ÀÖ´Â ³¯, ¾ß°£ ¹«·áÀÔÀå µî","¸¸ 6¼¼ ÀÌÇÏ ¹× 65¼¼ ÀÌ»ó, ±¹°¡À¯°øÀÚ, µ¶¸³À¯°øÀÚ ¹× ±× À¯Á· ¶Ç´Â °¡Á·, Àå¾ÖÀÎ ¹× º¸È£ÀÚ 1ÀÎ, ´ÙµÕÀÌ Çàº¹Ä«µå ¼ÒÁöÀÚ(µîÀç °¡Á· Æ÷ÇÔ)",1000,10000,12000,15000,15000,,40,"¸¸65¼¼ ÀÌ»ó, Àå¾ÖÀÎ(½ÉÇÏÁö ¾ÊÀº Àå¾Ö), ¹ÌÃëÇÐ ¾Æµ¿(4-6¼¼), ±¹°¡À¯°øÀÚ À¯Á·, ¼ÒÀ¯ÀÚµ¶¸³À¯°øÀÚ À¯Á·, ÀÇ»ç»óÀÚ À¯Á·, ¼­¿ï¸í¿¹½Ã¹Î","¸¸ 48°³¿ù ¹Ì¸¸, Àå¾ÖÀÎ(½ÉÇÑ Àå¾Ö)¿Í µ¿¹Ý 1ÀÎ, ±¹°¡À¯°øÀÚ º»ÀÎ, µ¶¸³À¯°øÀÚ º»ÀÎ, ÀÇ»ç»óÀÚ º»ÀÎ, ÂüÀüÀ¯°øÀÚ º»ÀÎ µî",,,,,1,,,,57,,,,,,,,,20250321,¹®È­±â¹Ý½Ã¼³ÃÑ¶÷ 2024,KC_478_DMSTC_MCST_ARTGR_2024,20241231
KCDMART23N000000007,¹®È­½Ã¼³,¹Ì¼ú°ü,¼­¿ï½Ã¸³¹Ì¼ú°ü,¼­¿ï,Áß±¸,1114016600,¼­¼Ò¹®µ¿,1114052000,¼Ò°øµ¿,1.11404E+11,¼­¿ïÆ¯º°½Ã Áß±¸ ´ö¼ö±Ã±æ 61,4515,´Ù»ç535517,126.9736993,37.56410607,°ø¸³,1Á¾,02-2124-8800,1988.08.19,Y,1999.03.15,¼­¿ï-°ø¸³13-1999-01È£,sema.seoul.go.kr,Y,¹«·á,Y,25402,13433,3256,,579,205,205,44734,¿¬24È¸,158,317,2096952,6615,,,,,,,,,ÀüÃ¼,17000,,,,,,,,ÀüÃ¼,19,21,21,15,43,57,15,,168,,,,,,,,,20250321,¹®È­±â¹Ý½Ã¼³ÃÑ¶÷ 2024,KC_478_DMSTC_MCST_ARTGR_2024,20241231
KCDMART23N000000008,¹®È­½Ã¼³,¹Ì¼ú°ü,¼ººÏ±¸¸³¹Ì¼ú°ü,¼­¿ï,¼ººÏ±¸,1129010100,¼ººÏµ¿,1129052500,¼ººÏµ¿,1.12903E+11,¼­¿ïÆ¯º°½Ã ¼ººÏ±¸ ¼ººÏ·Î 134,2837,´Ù»ç554551,126.9948871,37.5948372,°ø¸³,2Á¾,02-6925-5011,2009.11.29,Y,2010.12.29,¼­¿ï-°ø¸³21-2010-07È£,sma.sbculture.or.kr/sma,N,,N,532,696.06,222,,,23,,,¿¬2È¸,5,109,12986,119,,,,,,,,,,,,,,,,,,ÀüÃ¼,8,,,6,,,6,,,,,,,,,,,20250321,¹®È­±â¹Ý½Ã¼³ÃÑ¶÷ 2024,KC_478_DMSTC_MCST_ARTGR_2024,20241231
KCDMART23N000000009,¹®È­½Ã¼³,¹Ì¼ú°ü,"¼ººÏ±¸¸³ ÃÖ¸¸¸°¹Ì¼ú°ü
(¼ººÏ±¸¸³¹Ì¼ú°ü ºÐ°ü)",¼­¿ï,¼ººÏ±¸,1129013300,Á¤¸ªµ¿,1129064000,Á¤¸ª3µ¿,1.12904E+11,¼­¿ïÆ¯º°½Ã ¼ººÏ±¸ ¼Ö»ù·Î 7±æ 23,2708,´Ù»ç562569,127.004288,37.61065979,°ø¸³,¹Ìµî·Ï,02-6952-5016,2020.08.20,N,¹Ìµî·Ï,¹Ìµî·Ï,sma.sbculture.or.kr/¯M,N,,N,321,255.36,150.43,,,27,34.81,45316,¿¬2È¸,,88,2237,25,,,,,,,,,,,,,,,,,,ÀüÃ¼,,,,,,,,,,,,,,,,,,20250321,¹®È­±â¹Ý½Ã¼³ÃÑ¶÷ 2024,KC_478_DMSTC_MCST_ARTGR_2024,20241231
KCDMART23N000000010,¹®È­½Ã¼³,¹Ì¼ú°ü,"¼ººÏ¾î¸°ÀÌ¹Ì¼ú°ü ²ÞÀÚ¶÷
(¼ººÏ±¸¸³¹Ì¼ú°ü ºÐ°ü)",¼­¿ï,¼ººÏ±¸,1129013700,»ó¿ù°îµ¿,1129072500,¿ù°î2µ¿,1.12904E+11,¼­¿ïÆ¯º°½Ã ¼ººÏ±¸ È­¶û·Î 18ÀÚ±æ 13,2791,´Ù»ç603562,127.0505912,37.60497793,°ø¸³,¹Ìµî·Ï,02-6952-5022,2019.08.13,N,¹Ìµî·Ï,¹Ìµî·Ï,sma.sbculture.or.kr/youngartspace,N,,N,2468,337.94,119,,,13,,,¿¬2È¸,,128,4697,37,,,,,,,,,,,,,,,,,,ÀüÃ¼,,,,,,,,,,,,,,,,,,20250321,¹®È­±â¹Ý½Ã¼³ÃÑ¶÷ 2024,KC_478_DMSTC_MCST_ARTGR_2024,20241231
